Wohnort	Anzahl	Kreis	Gemeindename	Einwohner 1910
Berlin	2752	Stadt Berlin	Berlin	2071257.0
München	1419	Bayern	München	596467.0
Hamburg	776	Hamburg	Hamburg	931035.0
Dresden	631	Kreishauptmannschaft Dresden	Dresden	537211.0
Nürnberg	460	Bayern	Nürnberg	333142.0
Leipzig	446	Kreishauptmannschaft Leipzig	Leipzig	587958.0
Düsseldorf	415	Rheinprovinz	Düsseldorf	358728.0
Stuttgart	364	Stuttgart	Stuttgart	286218.0
Breslau	329	Provinz Schlesien	Breslau	512105.0
Hannover	320	Provinz Hannover	Hannover	302375.0
Straßburg	317	Stadt Strassburg	Straßburg	178891.0
Chemnitz	316	Kreishauptmannschaft Dresden	Chemnitz	287807.0
Braunschweig	229	Stadt Braunschweig	Braunschweig	143552.0
Bremen	218	Bremen	Bremen	247437.0
Aachen	212	Rheinprovinz	Aachen	156143.0
Magdeburg	194	Provinz Sachsen	Magdeburg	279629.0
Mannheim	187	Bezirk Mannheim	Mannheim	193902.0
Wiesbaden	179	Provinz Hessen-Nassau	Wiesbaden	109002.0
Karlsruhe	176	Bezirk Karlsruhe	Karlsruhe	134313.0
Wilmersdorf	170	Stadt Berlin-Schöneberg	Wilmersdorf	290.0
Dortmund	143	Provinz Westfalen	Dortmund	214226.0
Frankfurt	142	Provinz Hessen-Nassau	Frankfurt	121.0
Darmstadt	141	Provinz Starkenburg	Darmstadt	87089.0
Königsberg	130	Provinz Ostpreussen	Königsberg	245994.0
Essen	128	Rheinprovinz	Essen	294653.0
Zittau	125	Kreishauptmannschaft Bautzen	Zittau	37084.0
Metz	122	Stadt Metz	Metz	68598.0
Münster	122	Kreis Kolmar	Münster	90254.0
Augsburg	119	Reg.-Bezirk Schwaben und Neuburg	Augsburg	102487.0
Zwickau	118	Kreishauptmanschaft Zwickau	Zwickau	73512.0
Pforzheim	117	Bezirk Pforzheim	Pforzheim	69082.0
Kiel	101	Schleswig-Holstein	Kiel	211627.0
Altona	99	Schleswig-Holstein	Altona	172628.0
Bochum	99	Provinz Westfalen	Bochum	136931.0
Posen	95	Provinz Posen	Posen	156691.0
Charlottenburg	94	Stadt Charlottenburg	Charlottenburg	305978.0
Görlitz	94	Provinz Schlesien	Görlitz	85806.0
Heilbronn	94	OAB. Heilbronn	Heilbronn	42688.0
Freiburg	94	Bezirk Freiburg	Freiburg	83324.0
Elberfeld	92	Rheinprovinz	Elberfeld	170195.0
Stettin	92	Kreishauptmannschaft Dresden	Stettin	236113.0
Duisburg	91	Rheinprovinz	Duisburg	229483.0
Kassel	90	Provinz Hessen-Nassau	Kassel	153196.0
Eisenach	87	Bezirk Eisenach	Eisenach	38362.0
Mainz	87	Provinz Rheinhessen	Mainz	110634.0
Brandenburg	86	Provinz Brandenburg	Brandenburg	1140.0
Bonn	86	Rheinprovinz	Bonn	87978.0
Bielefeld	81	Provinz Westfalen	Bielefeld	78380.0
Grunewald	80	Provinz Brandenburg	Grunewald	5563.0
Bautzen	80	Kreishauptmannschaft Bautzen	Bautzen	32754.0
Offenbach	79	Provinz Starkenburg	Offenbach	75578.0
Düren	78	Rheinprovinz	Düren	32511.0
Fürth	74	Regierungsbezirk Mittelfranken	Fürth	66553.0
Gera	73	Stadt Gera	Gera	49276.0
Hagen	71	Provinz Hannover	Hagen	88605.0
Heidelberg	71	Bezirk Heidelberg	Heidelberg	56016.0
Mittweida	70	Kreishauptmannschaft Leipzig	Mittweida	17800.0
Lübeck	70	Lübeck	Lübeck	98656.0
Würzburg	70	Regierungsbezirk Unterfranken	Würzburg	84496.0
Löbau	69	Kreishauptmannschaft Bautzen	Löbau	11261.0
Ravensburg	69	OAB. Ravensburg	Ravensburg	15594.0
Osnabrück	69	Provinz Hannover	Osnabrück	65957.0
Bamberg	69	Regierungsbezirk Oberfranken	Bamberg	48063.0
Gelsenkirchen	68	Provinz Westfalen	Gelsenkirchen	169513.0
Saarbrücken	67	Rheinprovinz	Saarbrücken	105089.0
Liegnitz	66	Provinz Schlesien	Liegnitz	66620.0
Danzig	66	Provinz Westpreussen	Danzig	170337.0
Spandau	64	Provinz Brandenburg	Spandau	84855.0
Regensburg	63	Regierungsbezirk Oberpfalz	Regensburg	52624.0
Elbing	62	Provinz Westpreussen	Elbing	58636.0
Weimar	60	Bezirk Weimar	Weimar	34582.0
Gießen	58	Provinz Oberhessen	Gießen	31153.0
Barmen	58	Rheinprovinz	Barmen	169214.0
Kempten	57	Reg.-Bez. Schwaben und Neuburg	Kempten	21001.0
Neumünster	57	Schleswig-Holstein	Neumünster	34555.0
Mülhausen	56	Kreis Mülhausen	Mülhausen	95041.0
Kaiserslautern	56	Regierungsbezirk Pfalz	Kaiserslautern	54659.0
Freiberg	54	Kreishauptmannschaft Dresden	Freiberg	36237.0
Wittenberg	54	Provinz Sachsen	Wittenberg	22419.0
Coblenz	54	Rheinprovinz	Coblenz	83.0
Ulm	54	OAB. Ulm	Ulm	56109.0
Rostock	53	Mecklenburg-Schwerin	Rostock	65383.0
Bromberg	53	Provinz Posen	Bromberg	57696.0
Wilhelmshaven	52	Provinz Hannover	Wilhelmshaven	35044.0
Landshut	51	Reg.-Bezirk Niederbayern	Landshut	25137.0
Trier	51	Rheinprovinz	Trier	49112.0
